,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
2061,Prix des prestations,Valeur technique
2063,Prix,Méthodologie
2071,Valeur technique jugée au regard du mémoire technique,Prix des prestations
2073,Prix des prestations,Valeur technique jugée au regard du mémoire technique
2075,Prix,Valeur technique de loffre
2079,Valeur technique jugée au regard du mémoire technique,Prix des prestations
2080,Valeur technique,Prix des prestations
2083,Lot 02 : Prix des prestations,Lot 02 : Valeur technique
2084,Prix des prestations,Valeur technique
2085,Lot 01 : Prix des prestations,Lot 01 : Valeur technique
2088,Lot 1 : Valeur technique,Lot 1 : Coût
2089,Lot 02 : Valeur technique,Lot 01 : Valeur technique
2100,Le prix des prestations,Le délai dexécution
2103,valeur technique,prix
2108,Prix,Valeur technique selon note méthodologique
2112,Valeur technique,Prix
2123,Prix,Valeur technique de loffre
2126,Prix des prestations,Valeur technique
2132,Lot 1 : Valeur technique,Lot 1 : Prix des prestations
2134,Prix,Valeur technique de loffre
2145,Le prix des prestations,La valeur technique des prestations
2146,prix,valeur technique
2149,Valeur technique appréciée en fonction du mémoire technique,Prix
2155,prix,environnement
2156,Valeur Technique,Délai de Livraison
2165,Prix,Cmb
2166,Valeur technique,Prix
2167,Valeur Technique,Délai de Livraison
2171,prix des prestations,Gestion et suivi des sinistres
2176,Valeur technique,Prix des prestations
2180,Prix,Valeur technique
2187,Prix,Valeur technique selon note méthodologique
2190,Prix,Valeur technique
2196,prix,valeur technique
2198,Qualité,Sécurité
2202,Prix,Valeur technique
2229,Valeur Technique et Environnementale,Prix
2244,Prix,Valeur technique
2245,Valeur technique de loffre,Prix
2272,Valeur technique des prestations et références,prix
2273,Prix,Valeur technique
2274,Prix des prestations,Délai des études
2275,Prix (80%,Valeur technique et environnementale de loffre (20%
2276,Prix,Valeur technique
2282,Prix des prestations,Valeur technique de loffre
2283,Prix évalué à partir du montant total de la DPGF,Valeur technique de loffre : correspondance aux prescriptions techniques du véhicule porteur (20% - correspondance aux prescriptions techniques de lélévateur de nacelle (20%
2292,Prix : 70 points,Valeur technique (Qualité de la DPGF
2299,Prix des prestations,Valeur technique
2300,Prix,Note méthodologique
2303,Prix analysé à partir du montant total de la DPGF,Valeur technique
2306,Prix,Valeur technique
2308,Prix,Valeur technique
2309,Prix,Valeur technique
2314,Prix,Veleur technique
2315,Valeur technique de loffre,Prix des prestations
2318,Prix,Condition de livraison
2328,prix,valeur technique et garantie
2330,VALEUR TECHNIQUE,PRIX DES PRESTATIONS
2331,Prix,Note méthodolgique
2332,Prix global de la prestation,Valeur technique
2336,Valeur technique,Prix des prestations
2337,Prix (80%,Valeur technique et environnementale de loffre (20%
2338,PRIX,DELAI DEXECUTION
2341,critère économique,critère technique
2342,Valeur technique décomposée comme suit : descriptif technique du matériel et méthodologie du SAV (caractéristiques du matériel,Prix de léquipement (analysé à partir du montant total HT de la DPGF
2345,qualités techniques,Prix
2346,Prix des prestations,Valeur technique
2347,Prix,Valeur technique
2357,Prix,Note méthodologique
2360,Prix des prestations,Valeur technique
2370,Valeur technique : Au vu du mémoire technique remis par le prestataire,Prix des prestations : Au vu du DPGF
2373,valeur technique,prix
2375,Valeur technique de loffre (références,Coût de la prestation
2376,Prix,Valeur technique
2393,Prix des prestations,Délai des études
2394,prix des prestations,valeur technique
2399,Prix,Valeur technique
2400,PRIX,MOYENS TECHNIQUES ET HUMAINS AFFECTES A LOPERATION
2401,Prix des prestations,Valeur technique
2402,Prix des articles,Remise sur le catalogue du candidat
2403,Prix,Valeur technique
2405,Prix,Note technique
2406,Prix,Note technique
2407,Valeur Technique appréciée au regard du contenu du mémoire technique remis,Prix des prestations apprécié au regard du Devis Estimatif
2408,prix,note technique
2409,Valeur technique jugée au regard des fiches techniques demandées,Prix évalué à partir du total ht du détail quantitatif estimatif
2410,Valeur technique,prix des prestations
2412,Prix,Valeur technique appréciée en fonction du mémoire technique détaillé présentant le matériel proposé et décrivant les différents composants
2413,valeur technique,prix des prestations
2419,Prix des prestations,La valeur technique
2420,Le prix de la prestation sur la base du taux proposé,La valeur technique de loffre au vu du projet de contrat proposé et des références du candidat
2426,Prix,Valeur technique
2428,Prix,Valeur technique
2439,Valeur technique : pondération 45 points (cf article 6 RC pour la sous-pondération,Prix : pondération 55 points
2440,Prix,Valeur technique
2441,Valeur technique des prestations et références,prix
2442,Temps prévisionnel dintervention qui sera indiqué dans le mémoire méthodologique,Composition de léquipe projet et expériences qui seront indiquées dans le mémoire méthodologique
2446,Prix,Valeur technique appréciée notamment au vu du mémoire technique
2447,prix des prestations,organisation (flexibilité
2449,Prix,Valeur technique appréciée notamment au vu du mémoire technique
2451,qualité technique,Prix
2455,VALEUR TECHNIQUE,PRIX
2465,Compréhension de la mission,Aptitude à intégrer les obligations réglementaires (accessibilité
2471,prix,valeur technique
2472,Prix : 70 points,Valeur technique (Qualité de la DPGF
2473,Prix des prestations,Valeur technique
2476,Valeur technique de loffre (appréciée au regard de la note détaillée et du - ou des - catalogue(s remis par le soumissionnaire dans le cadre de sa proposition,Valeur technique de loffre (appréciée au regard de la note détaillée et du - ou des - catalogue(s remis par le soumissionnaire dans le cadre de sa proposition : Etendue et diversité de loffre
2477,Valeur technique,Prix des prestations
2478,Note méthodologique,montant de la commission payée par lacquéreur
2479,Prix des prestations,Valeur technique
2490,note méthodologique,composition de léquipe et références
2491,1 - Prix des prestations,2 - Valeur technique
2493,Valeur technique appréciée sur la base de la note dintention,Prix des prestations
2494,Prix : 70 points,Valeur technique (Qualité de la DPGF
2495,Prix des prestations analysé à partir du DQE,Moyens humains mis à disposition
2505,Valeur technique,Prix
2508,Lot Lot 1 : Prix des prestations,Lot Lot 1 : Valeur technique
2511,Prix,Valeur environementale de loffre
2512,Valeur technique basé sur la méthodologie pour lorganisation de la prestation 20 %,Prix
2516,Valeur technique,Prix
2523,prix des prestations,valeur technique
2529,Prix,Valeur technique des prestations
2530,Prix des prestations : 70 points,Valeur technique (qualité de la DPGF
2539,Remise consentie,Conditons de remboursement
2540,valeur technique,prix des prestations
2541,Prix des prestations,Valeur technique
2542,Prix : 70 points,Valeur technique (Qualité de la DPGF
2544,Valeur technique,Prix
2545,Prix,Valeur technique
2547,Valeur technique,prix
2548,Prix des prestations,Valeur technique
2549,Lot 1 - Nombre de documents en stock (fonds généraux et spécialisés et diversité des fonds,Lot 1 - Prix
2550,Valeur technique pondération 65 points,Prix
2551,Prix des prestations : 70 points,Valeur technique (qualité de la DPGF
2552,Prix des prestations,Valeur technique
2557,Le prix,La valeur environnementale
2558,Prix des prestations,Valeur technique : moyens humains et matériels mis en place par lentreprise pour lexécution du marché
2559,prix des prestations 70%,valeur technique de loffre 30% définis au RC.
2560,Valeur technique,Qualité esthétique
2565,Qualité résistance,Prix
2567,Prix des prestations,Valeur technique - supports et garanties
2570,Prix,Valeur technique appréciée notamment au vu du mémoire technique
2575,valeur technique,prix des prestations
2582,Valeur technique,Prix
2583,Prix : 70 points,Valeur technique (qualité de la DPGF
2588,Prix,Valeur technique de loffre
2596,Prix,Valeur technique
2606,Valeur technique,Prix des prestations
2608,Prix : 70 points,Valeur technique (Qualité de la DPGF
2609,Le prix,La valeur environnementale
2611,Valeur technique selon mémoire (détails art.6 du Rc,Prix des prestations
2616,Prix,Valeur technique
2622,Valeur technique appréciée sur la note méthodologique,Prix analysé à partir du DQE
2626,Prix des prestations,Valeur technique au vu du mémoire justificatif des dispositions que lentreprise se propose dadopter pour lexécution du contrat
2627,Valeur technique,Prix
2628,prix des prestations,qualité
2633,prix des prestations,valeur technique
2642,prix,valeur technique
2645,Prix,Valeur environnementale de loffre
2647,Prix,Valeur technique de loffre appréciée à laide du mémoire technique
2656,Valeur technique,Prix de prestations
2661,Prix des prestations,Valeur technique de loffre : maintenance
2667,Prix des prestations : 70 points,Valeur technique (qualité de la DPGF
2668,Lot 01 : Prix,Lot 01 : Prix : Montant Total du Détail Quantitatif et Estimatif
2670,critére 1 : valeur technique ( note méhotdologique et CV,sous critére 1 : organisation et qualité de léquipe proposée
2685,Valeur technique : pondération 60 points pour les lots 2,Prix : pondération 40 points pour les lots 2
2686,Qualité du mémoire et des informations apportées au cours de lentretien,Prix
2687,prix,valeur technique
2688,Prix : 70 points,Valeur technique (Qualité de la DPGF
2689,Prix,Valeur technique
2690,Prix,Valeur technique de loffre
2691,Prix : 70 points,Valeur technique (Qualité de la DPGF
2692,Prix des prestations,Valeur technique
2694,valeur technique,prix
2696,Valeur technique,Valeur technique : Qualité des matériaux
2697,Valeur technique de loffre (références,Coût de la prestation
2700,Prix : 70 points,Valeur technique (qualité de la DPGF
2706,Prix des prestations,Valeur technique
2733,prix des prestations,valeur technique
2736,Prix,Valeur technique
2742,Prix,Qualité du mémoire
2744,Prix : 70 points,Valeur technique (qualité de la DPGF
2750,Valeur technique,Prix
2751,Valeur technique,Prix des prestations sur la base du détail quantitatif estimatif
2752,Lot 1 : Valeur technique du matériel (conformité des fiches techniques,Lot 1 : Prix des matériels et remise consentie sur pièces détachées
2753,Prix des prestations,Valeur technique
2759,Méthode proposée : 45 points,Prix des prestations : 35 points
2760,valeur technique de loffre,prix
2762,prix,technique
2768,Valeur technique,Prix
2769,Valeur technique,prix des prestations
2771,Prix des prestations,Valeur technique
2772,Prix des prestations (évalué sur la DPGF tranche ferme et DPGF tranches optionnelles,Valeur technique (évaluée sur le mémoire technique fourni par les candidats portant notamment sur les éléments suivants : moyens humains dédiés par rapport aux missions à réaliser; La capacité du candidat à organiser
2773,Prix des prestations,Valeur technique
2774,Prix des prestations,Valeur technique
2779,Valeur technique et environnementale 60 points,Prix des prestations 40 points
2786,Prix des prestations,Valeur technique
2787,Prix des prestations,Valeur technique : Au regard de la notice technique: - - Moyens matériels 4% - - Moyens humains 4% - - Garantie de sécurité du personnel et du chantier 2 % - - Moyens de protection de lenvironnement 8 % - - Rapport dintervention type 2% - - Délais dintervention (urgence 10 %
2788,Valeur technique des prestations,Prix des prestations
2789,-Valeur technique analysée en fonction des caractéristiques consignées dans loffre technique,Prix
